ort,plz,landkreis,bundesland
Augsburg,86154,,Bayern
Augsburg,86156,,Bayern
Augsburg,86157,,Bayern
Augsburg,86159,,Bayern
Augsburg,86161,,Bayern
Augsburg,86163,,Bayern
Augsburg,86165,,Bayern
Augsburg,86167,,Bayern
Augsburg,86169,,Bayern
Augsburg,86179,,Bayern
Augsburg,86199,,Bayern
Augustdorf,32832,Kreis Lippe,Nordrhein-Westfalen
Augustusburg,09573,Landkreis Mittelsachsen,Sachsen
Auhagen,31553,Landkreis Schaumburg,Niedersachsen
Auhausen,86736,Landkreis Donau-Ries,Bayern
Au in der Hallertau,84072,Landkreis Freising,Bayern
Aukrug,24613,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Aulendorf,88326,Landkreis Ravensburg,Baden-Württemberg
Aull,65582,Rhein-Lahn-Kreis,Rheinland-Pfalz
Auma-Weidatal,07955,Landkreis Greiz,Thüringen
Aumühle,21521,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Aura a.d.Saale,97717,Landkreis Bad Kissingen,Bayern
Aurach,91589,Landkreis Ansbach,Bayern
Aurachtal,91086,Landkreis Erlangen-Höchstadt,Bayern
Aura im Sinngrund,97773,Landkreis Main-Spessart,Bayern
Aurich,26603,Landkreis Aurich,Niedersachsen
Aurich,26605,Landkreis Aurich,Niedersachsen
Aurich,26607,Landkreis Aurich,Niedersachsen
Ausacker,24975,Kreis Schleswig-Flensburg,Schleswig-Holstein
Ausleben,39393,Landkreis Börde,Sachsen-Anhalt
Außernzell,94532,Landkreis Deggendorf,Bayern
Auufer,25548,Kreis Steinburg,Schleswig-Holstein
Auw an der Kyll,54664,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Auw bei Prüm,54597,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Aventoft,25927,Kreis Nordfriesland,Schleswig-Holstein
Averlak,25715,Kreis Dithmarschen,Schleswig-Holstein
Axstedt,27729,Landkreis Osterholz,Niedersachsen
Aying,85653,Landkreis München,Bayern
Ayl,54441,Landkreis Trier-Saarburg,Rheinland-Pfalz
Aystetten,86482,Landkreis Augsburg,Bayern
Baabe,18586,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Baar,86674,Landkreis Aichach-Friedberg,Bayern
Baar,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Baar-Ebenhausen,85107,Landkreis Pfaffenhofen an der Ilm,Bayern
Babenhausen,64832,Landkreis Darmstadt-Dieburg,Hessen
Babenhausen,87727,Landkreis Unterallgäu,Bayern
Babensham,83547,Landkreis Rosenheim,Bayern
Bach an der Donau,93090,Landkreis Regensburg,Bayern
Bacharach,55422,Landkreis Mainz-Bingen,Rheinland-Pfalz
Bachenberg,57610,Landkreis Altenkirchen,Rheinland-Pfalz
Bachhagel,89429,Landkreis Dillingen an der Donau,Bayern
Bächingen a.d.Brenz,89431,Landkreis Dillingen an der Donau,Bayern
Backnang,71522,Rems-Murr-Kreis,Baden-Württemberg
Bad Abbach,93077,Landkreis Kelheim,Bayern
Bad Aibling,83043,Landkreis Rosenheim,Bayern
Bad Alexandersbad,95680,Landkreis Wunsiedel im Fichtelgebirge,Bayern
Bad Arolsen,34454,Landkreis Waldeck-Frankenberg,Hessen
Bad Bayersoien,82435,Landkreis Garmisch-Partenkirchen,Bayern
Bad Bellingen,79415,Landkreis Lörrach,Baden-Württemberg
Bad Belzig,14806,Landkreis Potsdam-Mittelmark,Brandenburg
Bad Bentheim,48455,Landkreis Grafschaft Bentheim,Niedersachsen
Badbergen,49635,Landkreis Osnabrück,Niedersachsen
Bad Bergzabern,76887,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Bad Berka,99438,Landkreis Weimarer Land,Thüringen
Bad Berleburg,57319,Kreis Siegen-Wittgenstein,Nordrhein-Westfalen
Bad Berneck im Fichtelgebirge,95460,Landkreis Bayreuth,Bayern
Bad Bertrich,56864,Landkreis Cochem-Zell,Rheinland-Pfalz
Bad Bevensen,29549,Landkreis Uelzen,Niedersachsen
Bad Bibra,06647,Burgenlandkreis,Sachsen-Anhalt
Bad Birnbach,84364,Landkreis Rottal-Inn,Bayern
Bad Blankenburg,07422,Landkreis Saalfeld-Rudolstadt,Thüringen
Bad Bocklet,97708,Landkreis Bad Kissingen,Bayern
Bad Bodenteich,29389,Landkreis Uelzen,Niedersachsen
Bad Boll,73087,Landkreis Göppingen,Baden-Württemberg
Bad Brambach,08648,Vogtlandkreis,Sachsen
Bad Bramstedt,24576,Kreis Segeberg,Schleswig-Holstein
Bad Breisig,53498,Landkreis Ahrweiler,Rheinland-Pfalz
Bad Brückenau,97769,Landkreis Bad Kissingen,Bayern
Bad Buchau,88422,Landkreis Biberach,Baden-Württemberg
Bad Camberg,65520,Landkreis Limburg-Weilburg,Hessen
Baddeckenstedt,38271,Landkreis Wolfenbüttel,Niedersachsen
Bad Ditzenbach,73312,Landkreis Göppingen,Baden-Württemberg
Bad Ditzenbach,73342,Landkreis Göppingen,Baden-Württemberg
Bad Ditzenbach,73345,Landkreis Göppingen,Baden-Württemberg
Bad Doberan,18209,Landkreis Rostock,Mecklenburg-Vorpommern
Bad Driburg,33014,Kreis Höxter,Nordrhein-Westfalen
Bad Düben,04849,Landkreis Nordsachsen,Sachsen
Bad Dürkheim,67098,Landkreis Bad Dürkheim,Rheinland-Pfalz
Bad Dürrenberg,06231,Saalekreis,Sachsen-Anhalt
Bad Dürrheim,78073,Schwarzwald-Baar-Kreis,Baden-Württemberg
Bad Eilsen,31707,Landkreis Schaumburg,Niedersachsen
Bad Elster,08645,Vogtlandkreis,Sachsen
Badem,54657,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Bad Ems,56130,Rhein-Lahn-Kreis,Rheinland-Pfalz
Bad Emstal,34308,Landkreis Kassel,Hessen
Baden-Baden,76530,,Baden-Württemberg
Baden-Baden,76532,,Baden-Württemberg
Baden-Baden,76534,,Baden-Württemberg
Bad Endbach,35080,Landkreis Marburg-Biedenkopf,Hessen
Badendorf,23619,Kreis Stormarn,Schleswig-Holstein
Bad Endorf,83093,Landkreis Rosenheim,Bayern
Badenhard,56291,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Badenheim,55576,Landkreis Mainz-Bingen,Rheinland-Pfalz
Badenweiler,79410,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Bad Essen,49152,Landkreis Osnabrück,Niedersachsen
Bad Fallingbostel,29683,Landkreis Heidekreis,Niedersachsen
Bad Feilnbach,83075,Landkreis Rosenheim,Bayern
Bad Frankenhausen/Kyffhäuser,06567,Kyffhäuserkreis,Thüringen
Bad Freienwalde (Oder),16259,Landkreis Märkisch-Oderland,Brandenburg
Bad Friedrichshall,74177,Landkreis Heilbronn,Baden-Württemberg
Bad Füssing,94072,Landkreis Passau,Bayern
Bad Gandersheim,37581,Landkreis Northeim,Niedersachsen
Bad Gottleuba-Berggießhübel,01816,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Bad Griesbach i.Rottal,94086,Landkreis Passau,Bayern
Bad Grönenbach,87730,Landkreis Unterallgäu,Bayern
Bad Grund,37539,Landkreis Göttingen,Niedersachsen
Bad Harzburg,38667,Landkreis Goslar,Niedersachsen
Bad Heilbrunn,83670,Landkreis Bad Tölz-Wolfratshausen,Bayern
Bad Herrenalb,76332,Landkreis Calw,Baden-Württemberg
Bad Hersfeld,36251,Landkreis Hersfeld-Rotenburg,Hessen
Bad Hindelang,87541,Landkreis Oberallgäu,Bayern
Bad Homburg vor der Höhe,61348,Hochtaunuskreis,Hessen
Bad Homburg vor der Höhe,61350,Hochtaunuskreis,Hessen
Bad Homburg vor der Höhe,61352,Hochtaunuskreis,Hessen
Bad Honnef,53604,Rhein-Sieg-Kreis,Nordrhein-Westfalen
Bad Hönningen,53547,Landkreis Neuwied,Rheinland-Pfalz
Bad Hönningen,53557,Landkreis Neuwied,Rheinland-Pfalz
Bad Iburg,49186,Landkreis Osnabrück,Niedersachsen
Bad Karlshafen,34385,Landkreis Kassel,Hessen
Bad Kissingen,97688,Landkreis Bad Kissingen,Bayern
Bad Kleinen,23996,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Bad Klosterlausnitz,07639,Saale-Holzland-Kreis,Thüringen
Bad Kohlgrub,82433,Landkreis Garmisch-Partenkirchen,Bayern
Bad König,64732,Odenwaldkreis,Hessen
Bad Königshofen im Grabfeld,97631,Landkreis Rhön-Grabfeld,Bayern
Bad Köstritz,07586,Landkreis Greiz,Thüringen
Bad Kötzting,93444,Landkreis Cham,Bayern
Bad Kreuznach,55543,Landkreis Bad Kreuznach,Rheinland-Pfalz
Bad Kreuznach,55545,Landkreis Bad Kreuznach,Rheinland-Pfalz
Bad Kreuznach,55583,Landkreis Bad Kreuznach,Rheinland-Pfalz
Bad Krozingen,79189,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Bad Laasphe,57334,Kreis Siegen-Wittgenstein,Nordrhein-Westfalen
Bad Laer,49196,Landkreis Osnabrück,Niedersachsen
Bad Langensalza,99947,Unstrut-Hainich-Kreis,Thüringen
Bad Lausick,04651,Landkreis Leipzig,Sachsen
Bad Lauterberg im Harz,37431,Landkreis Göttingen,Niedersachsen
Bad Liebenstein,36448,Wartburgkreis,Thüringen
Bad Liebenwerda,04895,Landkreis Elbe-Elster,Brandenburg
Bad Liebenwerda,04924,Landkreis Elbe-Elster,Brandenburg
Bad Liebenwerda,04931,Landkreis Elbe-Elster,Brandenburg
Bad Liebenzell,75378,Landkreis Calw,Baden-Württemberg
Bad Lippspringe,33175,Kreis Paderborn,Nordrhein-Westfalen
Bad Lobenstein,07356,Saale-Orla-Kreis,Thüringen
Bad Marienberg (Westerwald),56470,Westerwaldkreis,Rheinland-Pfalz
Bad Mergentheim,97980,Main-Tauber-Kreis,Baden-Württemberg
Bad Münder am Deister,31848,Landkreis Hameln-Pyrmont,Niedersachsen
Bad Münstereifel,53902,Kreis Euskirchen,Nordrhein-Westfalen
Bad Muskau - Mužakow,02953,Landkreis Görlitz,Sachsen
Bad Nauheim,61231,Wetteraukreis,Hessen
Bad Nenndorf,31542,Landkreis Schaumburg,Niedersachsen
Bad Neualbenreuth,95698,Landkreis Tirschenreuth,Bayern
Bad Neuenahr-Ahrweiler,53474,Landkreis Ahrweiler,Rheinland-Pfalz
Bad Neustadt an der Saale,97616,Landkreis Rhön-Grabfeld,Bayern
Bad Oeynhausen,32545,Kreis Minden-Lübbecke,Nordrhein-Westfalen
Bad Oeynhausen,32547,Kreis Minden-Lübbecke,Nordrhein-Westfalen
Bad Oeynhausen,32549,Kreis Minden-Lübbecke,Nordrhein-Westfalen
Bad Oldesloe,23843,Kreis Stormarn,Schleswig-Holstein
Bad Orb,63619,Main-Kinzig-Kreis,Hessen
Bad Peterstal-Griesbach,72250,Ortenaukreis,Baden-Württemberg
Bad Peterstal-Griesbach,77740,Ortenaukreis,Baden-Württemberg
Bad Pyrmont,31812,Landkreis Hameln-Pyrmont,Niedersachsen
Bad Rappenau,74906,Landkreis Heilbronn,Baden-Württemberg
Bad Reichenhall,83435,Landkreis Berchtesgadener Land,Bayern
Bad Rippoldsau-Schapbach,77776,Landkreis Freudenstadt,Baden-Württemberg
Bad Rodach,96476,Landkreis Coburg,Bayern
Bad Rothenfelde,49214,Landkreis Osnabrück,Niedersachsen
Bad Saarow,15526,Landkreis Oder-Spree,Brandenburg
Bad Sachsa,37441,Landkreis Göttingen,Niedersachsen
Bad Säckingen,79713,Landkreis Waldshut,Baden-Württemberg
Bad Salzdetfurth,31162,Landkreis Hildesheim,Niedersachsen
Bad Salzschlirf,36364,Landkreis Fulda,Hessen
Bad Salzuflen,32105,Kreis Lippe,Nordrhein-Westfalen
Bad Salzuflen,32107,Kreis Lippe,Nordrhein-Westfalen
Bad Salzuflen,32108,Kreis Lippe,Nordrhein-Westfalen
Bad Salzungen,36433,Wartburgkreis,Thüringen
Bad Salzungen,36469,Wartburgkreis,Thüringen
Bad Sassendorf,59505,Kreis Soest,Nordrhein-Westfalen
Bad Saulgau,88348,Landkreis Sigmaringen,Baden-Württemberg
Bad Schandau,01814,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Bad Schmiedeberg,06905,Landkreis Wittenberg,Sachsen-Anhalt
Bad Schönborn,76669,Landkreis Karlsruhe,Baden-Württemberg
Bad Schussenried,88427,Landkreis Biberach,Baden-Württemberg
Bad Schwalbach,65307,Rheingau-Taunus-Kreis,Hessen
Bad Schwartau,23611,Kreis Ostholstein,Schleswig-Holstein
Bad Segeberg,23795,Kreis Segeberg,Schleswig-Holstein
Bad Sobernheim,55566,Landkreis Bad Kreuznach,Rheinland-Pfalz
Bad Soden,65812,Main-Taunus-Kreis,Hessen
Bad Soden-Salmünster,63628,Main-Kinzig-Kreis,Hessen
Bad Sooden-Allendorf,37242,Werra-Meißner-Kreis,Hessen
Bad Staffelstein,96231,Landkreis Lichtenfels,Bayern
Bad Steben,95138,Landkreis Hof,Bayern
Bad Sulza,99518,Landkreis Weimarer Land,Thüringen
Bad Sülze,18334,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Bad Tabarz,99891,Landkreis Gotha,Thüringen
Bad Teinach-Zavelstein,75385,Landkreis Calw,Baden-Württemberg
Bad Tennstedt,99955,Unstrut-Hainich-Kreis,Thüringen
Bad Tölz,83646,Landkreis Bad Tölz-Wolfratshausen,Bayern
Bad Überkingen,73337,Landkreis Göppingen,Baden-Württemberg
Bad Urach,72574,Landkreis Reutlingen,Baden-Württemberg
Bad Vilbel,61118,Wetteraukreis,Hessen
Bad Waldsee,88339,Landkreis Ravensburg,Baden-Württemberg
Bad Wiessee,83707,Landkreis Miesbach,Bayern
Bad Wildbad,75323,Landkreis Calw,Baden-Württemberg
Bad Wildungen,34537,Landkreis Waldeck-Frankenberg,Hessen
Bad Wilsnack,19336,Landkreis Prignitz,Brandenburg
Bad Wimpfen,74206,Landkreis Heilbronn,Baden-Württemberg
Bad Windsheim,91438,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern
Bad Wörishofen,86825,Landkreis Unterallgäu,Bayern
Bad Wünnenberg,33181,Kreis Paderborn,Nordrhein-Westfalen
Bad Wurzach,88410,Landkreis Ravensburg,Baden-Württemberg
Bad Zwesten,34596,Schwalm-Eder-Kreis,Hessen
Bad Zwischenahn,26160,Landkreis Ammerland,Niedersachsen
Baesweiler,52499,Städteregion Aachen,Nordrhein-Westfalen
Bahlingen,79353,Landkreis Emmendingen,Baden-Württemberg
Bahrdorf,38459,Landkreis Helmstedt,Niedersachsen
Bahrenborstel,27245,Landkreis Diepholz,Niedersachsen
Bahrenfleth,25569,Kreis Steinburg,Schleswig-Holstein
Bahrenhof,23845,Kreis Segeberg,Schleswig-Holstein
Bahretal,01819,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Baienfurt,88255,Landkreis Ravensburg,Baden-Württemberg
Baierbach,84171,Landkreis Landshut,Bayern
Baierbrunn,82065,Landkreis München,Bayern
Baiern,85625,Landkreis Ebersberg,Bayern
Baiersbronn,72270,Landkreis Freudenstadt,Baden-Württemberg
Baiersdorf,91083,Landkreis Erlangen-Höchstadt,Bayern
Baindt,88255,Landkreis Ravensburg,Baden-Württemberg
Baisweil,87650,Landkreis Ostallgäu,Bayern
Bäk,23909,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Bakum,49456,Landkreis Vechta,Niedersachsen
Bälau,23881,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Balderschwang,87538,Landkreis Oberallgäu,Bayern
Baldringen,54314,Landkreis Trier-Saarburg,Rheinland-Pfalz
Balduinstein,65558,Rhein-Lahn-Kreis,Rheinland-Pfalz
Balesfeld,54597,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Balge,31609,Landkreis Nienburg/Weser,Niedersachsen
Balgheim,78582,Landkreis Tuttlingen,Baden-Württemberg
Balgstädt,06632,Burgenlandkreis,Sachsen-Anhalt
Balingen,72336,Zollernalbkreis,Baden-Württemberg
Balje,21730,Landkreis Stade,Niedersachsen
Ballendorf,89177,Alb-Donau-Kreis,Baden-Württemberg
Ballenstedt,06493,Landkreis Harz,Sachsen-Anhalt
Ballhausen,99955,Unstrut-Hainich-Kreis,Thüringen
Ballrechten-Dottingen,79282,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Ballstedt,99439,Landkreis Weimarer Land,Thüringen
Balow,19300,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Baltmannsweiler,73666,Landkreis Esslingen,Baden-Württemberg
Baltrum,26579,Landkreis Aurich,Niedersachsen
Balve,58802,Märkischer Kreis,Nordrhein-Westfalen
Balzhausen,86483,Landkreis Günzburg,Bayern
Balzheim,88481,Alb-Donau-Kreis,Baden-Württemberg
Bamberg,96047,,Bayern
Bamberg,96049,,Bayern
Bamberg,96050,,Bayern
Bamberg,96052,,Bayern
Bammental,69245,Rhein-Neckar-Kreis,Baden-Württemberg
Bandelin,17506,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Bandenitz,19230,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Bann,66851,Landkreis Kaiserslautern,Rheinland-Pfalz
Bannberscheid,56424,Westerwaldkreis,Rheinland-Pfalz
Bannewitz,01728,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Banzkow,19079,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Barbelroth,76889,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Barbing,93092,Landkreis Regensburg,Bayern
Barby,39240,Salzlandkreis,Sachsen-Anhalt
Barby,39249,Salzlandkreis,Sachsen-Anhalt
Barchfeld-Immelborn,36456,Wartburgkreis,Thüringen
Bardowick,21357,Landkreis Lüneburg,Niedersachsen
Bärenbach,55483,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Bärenbach,55758,Landkreis Bad Kreuznach,Rheinland-Pfalz
Barenburg,27245,Landkreis Diepholz,Niedersachsen
Barendorf,21397,Landkreis Lüneburg,Niedersachsen
Bärenstein,09471,Erzgebirgskreis,Sachsen
Bärenthal,78580,Landkreis Tuttlingen,Baden-Württemberg
Bargenstedt,25704,Kreis Dithmarschen,Schleswig-Holstein
Bargfeld-Stegen,23863,Kreis Stormarn,Schleswig-Holstein
Bargischow,17398,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Bargstall,24806,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Bargstedt,21698,Landkreis Stade,Niedersachsen
Bargstedt,24793,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Bargteheide,22941,Kreis Stormarn,Schleswig-Holstein
Bargum,25842,Kreis Nordfriesland,Schleswig-Holstein
Bark,23826,Kreis Segeberg,Schleswig-Holstein
Barkelsby,24360,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Barkenholm,25791,Kreis Dithmarschen,Schleswig-Holstein
Barkhagen,19395,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Barleben,39179,Landkreis Börde,Sachsen-Anhalt
Barlt,25719,Kreis Dithmarschen,Schleswig-Holstein
Barmissen,24245,Kreis Plön,Schleswig-Holstein
Barmstedt,25355,Kreis Pinneberg,Schleswig-Holstein
Bärnau,95671,Landkreis Tirschenreuth,Bayern
Barnekow,23968,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Barnin,19089,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Barnitz,23858,Kreis Stormarn,Schleswig-Holstein
Barnstädt,06268,Saalekreis,Sachsen-Anhalt
Barnstedt,21406,Landkreis Lüneburg,Niedersachsen
Barnstorf,49406,Landkreis Diepholz,Niedersachsen
Barntrup,32683,Kreis Lippe,Nordrhein-Westfalen
Barsbek,24217,Kreis Plön,Schleswig-Holstein
Barsbüttel,22885,Kreis Stormarn,Schleswig-Holstein
Barsinghausen,30890,Region Hannover,Niedersachsen
Barßel,26676,Landkreis Cloppenburg,Niedersachsen
Bartenshagen-Parkentin,18209,Landkreis Rostock,Mecklenburg-Vorpommern
Barth,18356,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Bartholomä,73566,Ostalbkreis,Baden-Württemberg
Bartow,17089,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Barum,29576,Landkreis Uelzen,Niedersachsen
Barum,21357,Landkreis Lüneburg,Niedersachsen
Baruth/Mark,15837,Landkreis Teltow-Fläming,Brandenburg
Barver,49453,Landkreis Diepholz,Niedersachsen
Barwedel,38476,Landkreis Gifhorn,Niedersachsen
Barweiler,53534,Landkreis Ahrweiler,Rheinland-Pfalz
Bärweiler,55606,Landkreis Bad Kreuznach,Rheinland-Pfalz
Basberg,54578,Landkreis Vulkaneifel,Rheinland-Pfalz
Basdahl,27432,Landkreis Rotenburg (Wümme),Niedersachsen
Basedow,17139,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Basedow,21483,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Bassenheim,56220,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Bassum,27211,Landkreis Diepholz,Niedersachsen
Bastheim,97654,Landkreis Rhön-Grabfeld,Bayern
Basthorst,21493,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Bastorf,18230,Landkreis Rostock,Mecklenburg-Vorpommern
Battenberg (Eder),35088,Landkreis Waldeck-Frankenberg,Hessen
Battenberg (Pfalz),67271,Landkreis Bad Dürkheim,Rheinland-Pfalz
Battweiler,66484,Landkreis Südwestpfalz,Rheinland-Pfalz
Baudenbach,91460,Landkreis Neustadt an der Aisch-Bad Windsheim,Bayern
Bauler,53534,Landkreis Ahrweiler,Rheinland-Pfalz
Bauler,54673,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Baumgarten,18246,Landkreis Rostock,Mecklenburg-Vorpommern
Baumholder,55774,Landkreis Birkenfeld,Rheinland-Pfalz
Baunach,96148,Landkreis Bamberg,Bayern
Baunatal,34225,Landkreis Kassel,Hessen
Bausendorf,54538,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Baustert,54636,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Bautzen - Budyšin,02625,Landkreis Bautzen,Sachsen
Bawinkel,49844,Landkreis Emsland,Niedersachsen
Bayerbach,94137,Landkreis Rottal-Inn,Bayern
Bayerbach b. Ergoldsbach,84092,Landkreis Landshut,Bayern
Bayerfeld-Steckweiler,67808,Donnersbergkreis,Rheinland-Pfalz
Bayerfeld-Steckweiler,67822,Donnersbergkreis,Rheinland-Pfalz
Bayerisch Eisenstein,94252,Landkreis Regen,Bayern
Bayerisch Gmain,83457,Landkreis Berchtesgadener Land,Bayern
Bayreuth,95444,,Bayern
Bayreuth,95445,,Bayern
Bayreuth,95447,,Bayern
Bayreuth,95448,,Bayern
Bayrischzell,83735,Landkreis Miesbach,Bayern
Bebensee,23816,Kreis Segeberg,Schleswig-Holstein
Bebra,36179,Landkreis Hersfeld-Rotenburg,Hessen
Becheln,56132,Rhein-Lahn-Kreis,Rheinland-Pfalz
Bechenheim,55234,Landkreis Alzey-Worms,Rheinland-Pfalz
Becherbach,67827,Landkreis Bad Kreuznach,Rheinland-Pfalz
Becherbach bei Kirn,55608,Landkreis Bad Kreuznach,Rheinland-Pfalz
Bechhofen,91572,Landkreis Ansbach,Bayern
Bechhofen,66894,Landkreis Südwestpfalz,Rheinland-Pfalz
Bechstedt,07426,Landkreis Saalfeld-Rudolstadt,Thüringen
Bechtheim,67595,Landkreis Alzey-Worms,Rheinland-Pfalz
Bechtolsheim,55234,Landkreis Alzey-Worms,Rheinland-Pfalz
Bechtsrieth,92699,Landkreis Neustadt an der Waldnaab,Bayern
Beckdorf,21643,Landkreis Stade,Niedersachsen
Beckedorf,31699,Landkreis Schaumburg,Niedersachsen
Beckeln,27243,Landkreis Oldenburg,Niedersachsen
Beckingen,66701,Landkreis Merzig-Wadern,Saarland
Beckum,59269,Kreis Warendorf,Nordrhein-Westfalen
Bedburg,50181,Rhein-Erft-Kreis,Nordrhein-Westfalen
Bedburg-Hau,47551,Kreis Kleve,Nordrhein-Westfalen
Bedesbach,66885,Landkreis Kusel,Rheinland-Pfalz
Beedenbostel,29355,Landkreis Celle,Niedersachsen
Beelen,48361,Kreis Warendorf,Nordrhein-Westfalen
Beelitz,14547,Landkreis Potsdam-Mittelmark,Brandenburg
Beendorf,39343,Landkreis Börde,Sachsen-Anhalt
Beeskow,15848,Landkreis Oder-Spree,Brandenburg
Beesten,49832,Landkreis Emsland,Niedersachsen
Beetzendorf,38489,Altmarkkreis Salzwedel,Sachsen-Anhalt
Beetzsee,14778,Landkreis Potsdam-Mittelmark,Brandenburg
Beetzseeheide,14778,Landkreis Potsdam-Mittelmark,Brandenburg
Beggerow,17111,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Behlendorf,23919,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Behrendorf,25850,Kreis Nordfriesland,Schleswig-Holstein
Behrenhoff,17498,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Behren-Lübchin,17179,Landkreis Rostock,Mecklenburg-Vorpommern
Behrensdorf,24321,Kreis Plön,Schleswig-Holstein
Beidenfleth,25573,Kreis Steinburg,Schleswig-Holstein
Beiersdorf,02736,Landkreis Görlitz,Sachsen
Beiersdorf-Freudenberg,16259,Landkreis Märkisch-Oderland,Brandenburg
Beierstedt,38382,Landkreis Helmstedt,Niedersachsen
Beilingen,54662,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Beilngries,92339,Landkreis Eichstätt,Bayern
Beilrode,04886,Landkreis Nordsachsen,Sachsen
Beilstein,71543,Landkreis Heilbronn,Baden-Württemberg
Beilstein,71717,Landkreis Heilbronn,Baden-Württemberg
Beilstein,56814,Landkreis Cochem-Zell,Rheinland-Pfalz
Beimerstetten,89179,Alb-Donau-Kreis,Baden-Württemberg
Beindersheim,67259,Rhein-Pfalz-Kreis,Rheinland-Pfalz
Beinerstadt,98660,Landkreis Hildburghausen,Thüringen
Beinhausen,54552,Landkreis Vulkaneifel,Rheinland-Pfalz
Bekdorf,25554,Kreis Steinburg,Schleswig-Holstein
Bekmünde,25524,Kreis Steinburg,Schleswig-Holstein
Bekond,54340,Landkreis Trier-Saarburg,Rheinland-Pfalz
Belau,24601,Kreis Plön,Schleswig-Holstein
Beldorf,25557,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Beldorf,25767,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Belg,56858,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Belgern-Schildau,04874,Landkreis Nordsachsen,Sachsen
Belgern-Schildau,04889,Landkreis Nordsachsen,Sachsen
Belgershain,04683,Landkreis Leipzig,Sachsen
Belgweiler,55469,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Bell,56745,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Bellenberg,89287,Landkreis Neu-Ulm,Bayern
Bellheim,76756,Landkreis Germersheim,Rheinland-Pfalz
Bell (Hunsrück),56288,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Bellingen,56459,Westerwaldkreis,Rheinland-Pfalz
Bellstedt,99713,Kyffhäuserkreis,Thüringen
Belm,49191,Landkreis Osnabrück,Niedersachsen
Belrieth,98617,Landkreis Schmalkalden-Meiningen,Thüringen
Belsch,19230,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
